202	7 (N S E F U A M)
Heteropterys_nordestina435	0100000
Bergia_auriculata_2349	0000100
Malpighia_coccigera593	1000000
Acridocarpus_staudtii164	0001000
Elatine_alsinastrum_2306	0010000
Excentradenia_propinqua1168	0100000
Mascagnia_leticiana800	1000000
Elatine_minima524	1000000
Elatine_heterandra2273	1000000
Heteropterys_conformis462	0100000
Bhesa_robustaSplice	0000010
Bergia_henshallii_2346	0000100
Clonodia_racemosa838	0100000
Bergia_texana2287	1000000
Stigmaphyllon_puberum111	1100000
Janusia_linearis	1000000
Centroplacus657kw	0001000
Barnebya_dispar686	0100000
Aspidopterys_tomentosa549	0000010
Bergia_capensis_2253	0001010
Rhynchophora_humbertii372	0000001
Tetrapterys_microphylla162	0100000
Triaspis_hypericoides	0001000
Stigmaphyllon_paralias110	0100000
Elatine_triandra521	1000000
Gaudichaudia_albida	1000000
Echinopterys_eglandulosa227	1000000
Elatine_sp_Qiu99051	0010000
Dinemandra_ericoides119	0100000
Malpighia_stevensii27	1000000
Janusia_mediterranea136	0100000
Dicella_nucifera94	0100000
Carolus_sinemariensis775	1100000
Banisteriopsis_lutea730	0100000
Jubelina_rosea137	0100000
Banisteriopsis_hypericifolia	0100000
Pterandra_arborea188	0100000
Caucanthus_auriculatus	0001000
Rhynchophora_phillipsonii377	0000001
Acridocarpus_adenophorus602	0000001
Heteropterys_byrsonimifolia419	0100000
Peixotoa_glabra102	0100000
Heteropterys_sincorensis473	0100000
Janusia_guaranitica707	0100000
Amorimia_pubiflora843	0100000
Bunchosia_veluticarpa679	1000000
Acridocarpus_natalitius50	0001000
Hiptage_candicans799	0000010
Philgamia_glabrifolia1318	0000001
Aenigmatanthera_doniana1522	0100000
Heteropterys_bicolor457	0100000
Heteropterys_imperata439	0100000
Stigmaphyllon_ciliatum647	1100000
Elatine_hydropiper_2309	0010000
Malpighia_incana588	1000000
Mascagnia_polybotrya832	1000000
Aspicarpa_hirtella	1000000
Mezia_includens296	0100000
Mascagnia_chasei	0100000
Mascagnia_lasiandra847	0100000
Heteropterys_lindleyana414	0100000
Acridocarpus_smeathmannii168	0001000
Acridocarpus_chevalieri170	0001000
Elatine_rubella_2303	1000000
Elatine_ambigua2321	1000000
Bhesa_archiboldiana2048	0000100
Tetrapterys_phlomoides635	0100000
Microsteira_diotostigma1661	0000001
Heteropterys_bahiensis468	0100000
Acridocarpus_zanzibaricus177	0001000
Ryssopterys_timoriensis694	0000010
Heteropterys_aureosericea475	0100000
Gallardoa_fischeri134	0100000
Bergia_spathulata2259	0001000
Elatine_triandra_var_andina_2	0100000
Heteropterys_nitida423	0100000
Acridocarpus_orientalis68	0001000
Bergia_diacheiron_2345	0000100
Jubelina_wilburii293	1100000
